"ID"	"date"	"taxa"	"AQEM_taxon_ID"	"group"	"family"	"genus"	"abundance_m2"	"generation_time"	"sensitive"	"exposed"	"refuge_taxon"	"SPEciesAtRisk"
"S3"	"2019-06-03"	"Dixa sp."	4989	"Diptera"	"Dixidae"	"Dixa"	3.2	0.5	-0.35	1	1	1
"S3"	"2019-06-03"	"Platambus maculatus"	18649	"Coleoptera"	"Dytiscidae"	"Platambus"	4	1	-0.81	0	1	0
"S3"	"2019-06-03"	"Erpobdella vilnensis"	5157	"Hirudinea"	"Erpobdellidae"	"Erpobdella"	1.6	1	-0.41	1	1	0
"S3"	"2019-06-03"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	232	0.58	0.16	0	1	0
"S3"	"2019-06-03"	"Glossiphonia complanata"	5304	"Hirudinea"	"Glossiphoniidae"	"Glossiphonia"	1.6	1	-0.6	1	1	0
"S3"	"2019-06-03"	"Sericostoma flavicorne/personatum"	9747	"Trichoptera"	"Sericostomatidae"	"Sericostoma"	4.8	1	-0.06	1	0	0
"S3"	"2019-06-03"	"Simulium sp."	6853	"Diptera"	"Simuliidae"	"Simulium"	33.6	0.38	-0.46	1	1	0
"S3"	"2019-06-03"	"Pisidium sp."	6425	"Bivalvia"	"Sphaeriidae"	"Pisidium"	1.6	1	-2.09	1	1	0
"S4"	"2018-06-06"	"Anabolia nervosa"	4300	"Trichoptera"	"Limnephilidae"	"Anabolia"	1.6	1	-0.06	0	0	0
"S4"	"2018-06-06"	"Asellidae Gen. sp."	10663	"Crustacea"	"Asellidae"	"Asellidae"	0.8	0.5	-0.46	1	1	0
"S4"	"2018-06-06"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	148.8	0.5	-0.25	1	1	1
"S4"	"2018-06-06"	"Baetis fuscatus"	4397	"Ephemeroptera"	"Baetidae"	"Baetis"	1.6	0.5	-0.25	1	1	1
"S4"	"2018-06-06"	"Baetis sp."	4419	"Ephemeroptera"	"Baetidae"	"Baetis"	4	0.5	0.02	0	1	0
"S4"	"2018-06-06"	"Baetis rhodani"	4415	"Ephemeroptera"	"Baetidae"	"Baetis"	13.6	0.5	0.02	0	1	0
"S4"	"2018-06-06"	"Bithynia tentaculata"	4462	"Gastropoda"	"Bithyniidae"	"Bithynia"	0.8	1	-1.82	1	1	0
"S4"	"2018-06-06"	"Ceratopogoninae Gen. sp."	10725	"Diptera"	"Ceratopogonidae"	"Ceratopogoninae"	1.6	0.33	-0.35	1	1	0
"S4"	"2018-06-06"	"Chironominae Gen. sp."	4643	"Diptera"	"Chironomidae"	"Chironominae"	35.2	0.42	-0.39	0	1	0
"S4"	"2018-06-06"	"Tanytarsini Gen. sp."	6977	"Diptera"	"Chironomidae"	"Tanytarsini"	22.4	0.42	-0.39	0	1	0
"S4"	"2018-06-06"	"Chironomini Gen. sp."	4644	"Diptera"	"Chironomidae"	"Chironomini"	0.8	0.42	-0.39	0	1	0
"S4"	"2018-06-06"	"Tanypodinae Gen. sp."	6972	"Diptera"	"Chironomidae"	"Tanypodinae"	14.4	0.42	-0.39	0	1	0
"S4"	"2018-06-06"	"Orthocladiinae Gen. sp."	6208	"Diptera"	"Chironomidae"	"Orthocladiinae"	48	0.42	-0.39	0	1	0
"S4"	"2018-06-06"	"Prodiamesa olivacea"	6583	"Diptera"	"Chironomidae"	"Prodiamesa"	8	0.42	-0.39	0	1	0
"S4"	"2018-06-06"	"Ostracoda Gen. sp."	8740	"Crustacea"	"Ostracoda"	"Ostracoda"	2.4					
"S4"	"2018-06-06"	"Electrogena sp."	5083	"Ephemeroptera"	"Heptageniidae"	"Electrogena"	0.8	0.5	-0.3	1	1	1
"S4"	"2018-06-06"	"Limnius sp."	18419	"Coleoptera"	"Elmidae"	"Limnius"	49.6	2	-1.15	1	1	0
"S4"	"2018-06-06"	"Elmis sp."	17779	"Coleoptera"	"Elmidae"	"Elmis"	61.6	2	-1.15	1	1	0
"S4"	"2018-06-06"	"Chelifera sp."	4638	"Diptera"	"Empididae"	"Chelifera"	0.8	0.5	-0.35	0	1	0
"S4"	"2018-06-06"	"Ephemera danica"	5124	"Ephemeroptera"	"Ephemeridae"	"Ephemera"	0.8	2	-0.3	1	0	0
"S4"	"2018-06-06"	"Erpobdella octoculata"	5159	"Hirudinea"	"Erpobdellidae"	"Erpobdella"	1.6	1	-0.41	1	1	0
"S4"	"2018-06-06"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	1478.4	0.58	0.16	0	1	0
"S4"	"2018-06-06"	"Glossiphonia nebulosa"	7725	"Hirudinea"	"Glossiphoniidae"	"Glossiphonia"	0.8	1	-0.6	1	1	0
"S4"	"2018-06-06"	"Alboglossiphonia heteroclita"	4261	"Hirudinea"	"Glossiphoniidae"	"Alboglossiphonia"	0.8	1	-0.6	1	1	0
"S4"	"2018-06-06"	"Glossiphonia complanata"	5304	"Hirudinea"	"Glossiphoniidae"	"Glossiphonia"	4	1	-0.6	1	1	0
"S4"	"2018-06-06"	"Glossiphonia sp."	5310	"Hirudinea"	"Glossiphoniidae"	"Glossiphonia"	22.4	1	-0.6	1	1	0
"S4"	"2018-06-06"	"Helophorus sp."	17967	"Coleoptera"	"Helophoridae"	"Helophorus"	0.8	1	-0.89	1	1	0
"S4"	"2018-06-06"	"Hydrachnidia Gen. sp."	8825	"Hydrachnidia"	"Hydrachnidia"	"Hydrachnidia"	12.8	0.5	-1.15	1	1	0
"S4"	"2018-06-06"	"Potamopyrgus sp."	9164	"Gastropoda"	"Hydrobiidae"	"Potamopyrgus"	1.6	0.75	-1.82	1	1	0
"S4"	"2018-06-06"	"Hydrobiidae Gen. sp."	9618	"Gastropoda"	"Hydrobiidae"	"Hydrobiidae"	1.6	0.75	-1.82	1	1	0
"S4"	"2018-06-06"	"Athripsodes bilineatus ssp."	21232	"Trichoptera"	"Leptoceridae"	"Athripsodes"	1.6	1	-0.06	1	0	0
"S4"	"2018-06-06"	"Mystacides longicornis"	6063	"Trichoptera"	"Leptoceridae"	"Mystacides"	4	1	-0.06	1	0	0
"S4"	"2018-06-06"	"Halesus tesselatus"	5379	"Trichoptera"	"Limnephilidae"	"Halesus"	0.8	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Limnephilus lunatus"	5837	"Trichoptera"	"Limnephilidae"	"Limnephilus"	1.6	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Chaetopteryx major"	4624	"Trichoptera"	"Limnephilidae"	"Chaetopteryx"	0.8	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Limnephilus coenosus"	5823	"Trichoptera"	"Limnephilidae"	"Limnephilus"	0.8	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Halesus radiatus"	5376	"Trichoptera"	"Limnephilidae"	"Halesus"	1.6	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Chaetopteryx fusca/villosa"	8826	"Trichoptera"	"Limnephilidae"	"Chaetopteryx"	12	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Limoniidae Gen. sp."	8483	"Diptera"	"Limoniidae"	"Limoniidae"	34.4	1	-0.35	0	1	0
"S4"	"2018-06-06"	"Oligochaeta Gen. sp."	8736	"Oligochaeta"	"Oligochaeta"	"Oligochaeta"	1.6	0.5	-1.1	1	1	0
"S4"	"2018-06-06"	"Rhyacophila fasciata ssp."	21233	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	1.6	1	-0.06	0	1	0
"S4"	"2018-06-06"	"Rhyacophila obliterata"	6773	"Trichoptera"	"Rhyacophilidae"	"Rhyacophila"	0.8	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Rhyacophilidae Gen. sp."	6788	"Trichoptera"	"Rhyacophilidae"	"Rhyacophilidae"	4.8	1	-0.06	1	1	1
"S4"	"2018-06-06"	"Elodes sp."	17791	"Coleoptera"	"Scirtidae"	"Elodes"	0.8	1	-1.15	1	1	0
"S4"	"2018-06-06"	"Sericostomatidae Gen. sp."	9311	"Trichoptera"	"Sericostomatidae"	"Sericostomatidae"	0.8	1	-0.06	1	0	0
"S4"	"2018-06-06"	"Sericostoma flavicorne/personatum"	9747	"Trichoptera"	"Sericostomatidae"	"Sericostoma"	1.6	1	-0.06	1	0	0
"S4"	"2018-06-06"	"Sialis sp."	6823	"Megaloptera"	"Sialidae"	"Sialis"	0.8	2	-0.06	1	1	1
"S4"	"2018-06-06"	"Simuliidae Gen. sp."	6842	"Diptera"	"Simuliidae"	"Simuliidae"	0.8	0.38	-0.46	1	1	0
"S4"	"2018-06-06"	"Sphaerium corneum"	6882	"Bivalvia"	"Sphaeriidae"	"Sphaerium"	1.6	1	-2.09	1	1	0
"S4"	"2018-06-06"	"Pisidium sp."	6425	"Bivalvia"	"Sphaeriidae"	"Pisidium"	101.6	1	-2.09	1	1	0
"S4"	"2018-06-06"	"Chrysops sp."	9324	"Diptera"	"Tabanidae"	"Chrysops"	0.8	0.75	-0.35	0	0	0
"S4"	"2018-06-06"	"Tubificidae Gen. sp."	7117	"Oligochaeta"	"Tubificidae"	"Tubificidae"	33.6	0.5	-0.93	1	1	0
"S4"	"2018-06-06"	"Dugesia gonocephala"	5018	"Turbellaria"	"Dugesiidae"	"Dugesia"	0.8	1	-0.43	1	1	0
"S5"	"2019-06-03"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	0.8	0.5	-0.25	1	1	1
"S5"	"2019-06-03"	"Baetis rhodani"	4415	"Ephemeroptera"	"Baetidae"	"Baetis"	8.8	0.5	0.02	0	1	0
"S5"	"2019-06-03"	"Prodiamesa olivacea"	6583	"Diptera"	"Chironomidae"	"Prodiamesa"	0.8	0.42	-0.39	0	1	0
"S5"	"2019-06-03"	"Orthocladiinae Gen. sp."	6208	"Diptera"	"Chironomidae"	"Orthocladiinae"	4	0.42	-0.39	0	1	0
"S5"	"2019-06-03"	"Chironomidae Gen. sp."	4642	"Diptera"	"Chironomidae"	"Chironomidae"	0.8	0.42	-0.39	0	1	0
"S5"	"2019-06-03"	"Tanypodinae Gen. sp."	6972	"Diptera"	"Chironomidae"	"Tanypodinae"	2.4	0.42	-0.39	0	1	0
"S5"	"2019-06-03"	"Platambus maculatus"	18649	"Coleoptera"	"Dytiscidae"	"Platambus"	7.2	1	-0.81	0	1	0
"S5"	"2019-06-03"	"Laccophilus sp."	18359	"Coleoptera"	"Dytiscidae"	"Laccophilus"	0.8	1	-0.81	0	1	0
"S5"	"2019-06-03"	"Hydroporus palustris"	18240	"Coleoptera"	"Dytiscidae"	"Hydroporus"	0.8	1	-0.81	0	1	0
"S5"	"2019-06-03"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	616	0.58	0.16	0	1	0
"S5"	"2019-06-03"	"Limnephilus sp."	5844	"Trichoptera"	"Limnephilidae"	"Limnephilus"	1.6	1	-0.06	1	1	1
"S5"	"2019-06-03"	"Chaetopteryx fusca/villosa"	8826	"Trichoptera"	"Limnephilidae"	"Chaetopteryx"	2.4	1	-0.06	1	1	1
"S5"	"2019-06-03"	"Radix balthica"	16959	"Gastropoda"	"Lymnaeidae"	"Radix"	1.6	1	-0.64	1	1	0
"S5"	"2019-06-03"	"Elodes sp."	17791	"Coleoptera"	"Scirtidae"	"Elodes"	2.4	1	-1.15	1	1	0
"S5"	"2019-06-03"	"Dugesia lugubris"	5019	"Turbellaria"	"Dugesiidae"	"Dugesia"	6.4	1	-0.43	1	1	0
"S6"	"2018-06-14"	"Anabolia nervosa"	4300	"Trichoptera"	"Limnephilidae"	"Anabolia"	0.8	1	-0.06	0	0	0
"S6"	"2018-06-14"	"Prodiamesa olivacea"	6583	"Diptera"	"Chironomidae"	"Prodiamesa"	2.4	0.42	-0.39	0	1	0
"S6"	"2018-06-14"	"Orthocladiinae Gen. sp."	6208	"Diptera"	"Chironomidae"	"Orthocladiinae"	1.6	0.42	-0.39	0	1	0
"S6"	"2018-06-14"	"Dicranota sp."	4955	"Diptera"	"Pediciidae"	"Dicranota"	4.8					
"S6"	"2018-06-14"	"Limnius sp."	18419	"Coleoptera"	"Elmidae"	"Limnius"	2.4	2	-1.15	1	1	0
"S6"	"2018-06-14"	"Elmis sp."	17779	"Coleoptera"	"Elmidae"	"Elmis"	0.8	2	-1.15	1	1	0
"S6"	"2018-06-14"	"Serratella ignita"	5131	"Ephemeroptera"	"Ephemerellidae"	"Serratella"	0.8	1	-0.3	1	0	0
"S6"	"2018-06-14"	"Ephemera danica"	5124	"Ephemeroptera"	"Ephemeridae"	"Ephemera"	4.8	2	-0.3	1	0	0
"S6"	"2018-06-14"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	7.2	0.58	0.16	0	1	0
"S6"	"2018-06-14"	"Goera pilosa"	5329	"Trichoptera"	"Goeridae"	"Goera"	25.6	1	-0.06	1	1	1
"S6"	"2018-06-14"	"Hydropsyche angustipennis ssp."	21230	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	0.8	1	-1.03	1	1	0
"S6"	"2018-06-14"	"Oecetis ochracea"	6173	"Trichoptera"	"Leptoceridae"	"Oecetis"	2.4	1	-0.06	1	0	0
"S6"	"2018-06-14"	"Eiseniella tetraedra"	5075	"Oligochaeta"	"Lumbricidae"	"Eiseniella"	1.6	0.33	-1.1	1	1	0
"S6"	"2018-06-14"	"Haplotaxidae Gen. sp."	5400	"Oligochaeta"	"Haplotaxidae"	"Haplotaxidae"	0.8	0.5	-1.1	1	1	0
"S6"	"2018-06-14"	"Ancylus fluviatilis"	4310	"Gastropoda"	"Planorbidae"	"Ancylus"	9.6	1	-1.94	1	1	0
"S6"	"2018-06-14"	"Tipulidae Gen. sp."	8487	"Diptera"	"Tipulidae"	"Tipulidae"	0.8	0.5	-0.35	0	1	0
"S6"	"2018-06-14"	"Tubifex sp."	7115	"Oligochaeta"	"Tubificidae"	"Tubifex"	12	0.5	-0.93	1	1	0
"S7"	"2019-06-04"	"Atrichops crassipes"	4374	"Diptera"	"Athericidae"	"Atrichops"	3.2	0.62	-0.35	1	1	1
"S7"	"2019-06-04"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	3.2	0.5	-0.25	1	1	1
"S7"	"2019-06-04"	"Baetis rhodani"	4415	"Ephemeroptera"	"Baetidae"	"Baetis"	1.6	0.5	0.02	0	1	0
"S7"	"2019-06-04"	"Calopteryx splendens"	4530	"Odonata"	"Calopterygidae"	"Calopteryx"	0.8	2	-0.36	1	1	1
"S7"	"2019-06-04"	"Chironomidae Gen. sp."	4642	"Diptera"	"Chironomidae"	"Chironomidae"	4.8	0.42	-0.39	0	1	0
"S7"	"2019-06-04"	"Tanytarsini Gen. sp."	6977	"Diptera"	"Chironomidae"	"Tanytarsini"	1.6	0.42	-0.39	0	1	0
"S7"	"2019-06-04"	"Tanypodinae Gen. sp."	6972	"Diptera"	"Chironomidae"	"Tanypodinae"	22.4	0.42	-0.39	0	1	0
"S7"	"2019-06-04"	"Dicranota sp."	4955	"Diptera"	"Pediciidae"	"Dicranota"	29.6					
"S7"	"2019-06-04"	"Stenelmis sp."	18724	"Coleoptera"	"Elmidae"	"Stenelmis"	0.8	2	-1.15	1	1	0
"S7"	"2019-06-04"	"Limnius sp."	18419	"Coleoptera"	"Elmidae"	"Limnius"	2.4	2	-1.15	1	1	0
"S7"	"2019-06-04"	"Elmis sp."	17779	"Coleoptera"	"Elmidae"	"Elmis"	2.4	2	-1.15	1	1	0
"S7"	"2019-06-04"	"Serratella ignita"	5131	"Ephemeroptera"	"Ephemerellidae"	"Serratella"	24.8	1	-0.3	1	0	0
"S7"	"2019-06-04"	"Ephemera danica"	5124	"Ephemeroptera"	"Ephemeridae"	"Ephemera"	90.4	2	-0.3	1	0	0
"S7"	"2019-06-04"	"Athripsodes bilineatus ssp."	21232	"Trichoptera"	"Leptoceridae"	"Athripsodes"	0.8	1	-0.06	1	0	0
"S7"	"2019-06-04"	"Leuctra geniculata"	5237	"Plecoptera"	"Leuctridae"	"Leuctra"	1.6	1	0.38	1	1	1
"S7"	"2019-06-04"	"Leuctridae Gen. sp."	8437	"Plecoptera"	"Leuctridae"	"Leuctridae"	0.8	1	0.38	1	1	1
"S7"	"2019-06-04"	"Anomalopterygella chauviniana"	4327	"Trichoptera"	"Limnephilidae"	"Anomalopterygella"	0.8	1	-0.06	1	1	1
"S7"	"2019-06-04"	"Chaetopteryx fusca/villosa"	8826	"Trichoptera"	"Limnephilidae"	"Chaetopteryx"	1.6	1	-0.06	1	1	1
"S7"	"2019-06-04"	"Eloeophila sp."	9654	"Diptera"	"Limoniidae"	"Eloeophila"	4.8	1	-0.35	0	1	0
"S7"	"2019-06-04"	"Eiseniella tetraedra"	5075	"Oligochaeta"	"Lumbricidae"	"Eiseniella"	8	0.33	-1.1	1	1	0
"S7"	"2019-06-04"	"Oligochaeta Gen. sp."	8736	"Oligochaeta"	"Oligochaeta"	"Oligochaeta"	9.6	0.5	-1.1	1	1	0
"S7"	"2019-06-04"	"Onychogomphus forcipatus ssp."	19378	"Odonata"	"Gomphidae"	"Onychogomphus"	0.8	2	-0.96	1	1	0
"S7"	"2019-06-04"	"Plectrocnemia geniculata ssp."	19393	"Trichoptera"	"Polycentropodidae"	"Plectrocnemia"	2.4	1	-0.06	1	1	1
"S7"	"2019-06-04"	"Tipula sp."	7077	"Diptera"	"Tipulidae"	"Tipula"	4.8	0.5	-0.35	0	1	0
"S7"	"2019-06-04"	"Tubificidae Gen. sp."	7117	"Oligochaeta"	"Tubificidae"	"Tubificidae"	47.2	0.5	-0.93	1	1	0
"S8"	"2019-06-06"	"Anabolia nervosa"	4300	"Trichoptera"	"Limnephilidae"	"Anabolia"	6.4	1	-0.06	0	0	0
"S8"	"2019-06-06"	"Asellus aquaticus"	8691	"Crustacea"	"Asellidae"	"Asellus"	0.8	0.5	-0.46	1	1	0
"S8"	"2019-06-06"	"Atrichops crassipes"	4374	"Diptera"	"Athericidae"	"Atrichops"	9.6	0.62	-0.35	1	1	1
"S8"	"2019-06-06"	"Baetis vernus"	4427	"Ephemeroptera"	"Baetidae"	"Baetis"	1.6	0.5	-0.25	1	1	1
"S8"	"2019-06-06"	"Baetidae Gen. sp."	4380	"Ephemeroptera"	"Baetidae"	"Baetidae"	0.8	0.5	-0.25	1	1	1
"S8"	"2019-06-06"	"Ceratopogoninae/Palpomyiinae Gen. sp."	14768	"Diptera"	"Ceratopogonidae"	"Ceratopogoninae/Palpomyiinae"	0.8	0.33	-0.35	1	1	0
"S8"	"2019-06-06"	"Tanypodinae Gen. sp."	6972	"Diptera"	"Chironomidae"	"Tanypodinae"	32.8	0.42	-0.39	0	1	0
"S8"	"2019-06-06"	"Chironomini Gen. sp."	4644	"Diptera"	"Chironomidae"	"Chironomini"	1.6	0.42	-0.39	0	1	0
"S8"	"2019-06-06"	"Tanytarsini Gen. sp."	6977	"Diptera"	"Chironomidae"	"Tanytarsini"	59.2	0.42	-0.39	0	1	0
"S8"	"2019-06-06"	"Coenagrionidae Gen. sp."	4723	"Odonata"	"Coenagrionidae"	"Coenagrionidae"	0.8	1	-0.24	1	1	1
"S8"	"2019-06-06"	"Dicranota sp."	4955	"Diptera"	"Pediciidae"	"Dicranota"	37.6					
"S8"	"2019-06-06"	"Diptera Gen. sp."	9353	"Diptera"	"Diptera"	"Diptera"	18.4					
"S8"	"2019-06-06"	"Serratella ignita"	5131	"Ephemeroptera"	"Ephemerellidae"	"Serratella"	0.8	1	-0.3	1	0	0
"S8"	"2019-06-06"	"Ephemera danica"	5124	"Ephemeroptera"	"Ephemeridae"	"Ephemera"	4	2	-0.3	1	0	0
"S8"	"2019-06-06"	"Gammarus pulex"	5291	"Crustacea"	"Gammaridae"	"Gammarus"	12	0.58	0.16	0	1	0
"S8"	"2019-06-06"	"Gammarus roeselii"	5292	"Crustacea"	"Gammaridae"	"Gammarus"	130.4	0.58	0.16	0	1	0
