"ID"	"Latitude"	"Longitude"	"year"	"site_type"	"area_km2"	"monitoring_start"	"monitoring_end"	"grab_sampling"	"eds_sampling"	"invertebrate_analysis"	"multiprobe_sampling"
"S31"	53.38	11.06	2019	"Agricultural"	13.09	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"no"
"S32"	52.23	10.16	2018	"Agricultural"	6.59	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S33"	52.15	10.48	2018	"Agricultural"	9.45	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"no"
"S34"	52.39	7.2	2018	"Agricultural"	16.8	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S35"	52.18	10.68	2018	"Agricultural"	11.95	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S35"	52.18	10.68	2019	"Agricultural"	11.95	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S36"	52.14	9.43	2018	"Agricultural"	9.26	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S37"	52.81	8.73	2019	"Agricultural"	16.18	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S38"	51.99	10.5	2019	"Agricultural"	4.49	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S39"	52.02	10.47	2019	"Agricultural"	7.51	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S40"	52.22	10.66	2018	"Agricultural"	16.7	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S41"	52.8	8.76	2018	"Agricultural"	16.4	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S42"	52.45	7.49	2018	"Agricultural"	26.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S43"	52.28	10.75	2018	"Agricultural"	4.01	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S43"	52.28	10.75	2019	"Agricultural"	4.01	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S44"	52.69	8.98	2019	"Agricultural"	21.02	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S45"	52.71	8.79	2019	"Agricultural"	19.08	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S46"	52.21	10.67	2018	"Agricultural"	20.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S47"	50.65	6.64	2018	"Agricultural"	13.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S48"	51.84	7.66	2019	"Agricultural"	16.47	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S49"	51.79	7.28	2019	"Agricultural"	7.04	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S50"	51.75	7.33	2019	"Agricultural"	4.4	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S51"	50.67	6.55	2018	"Agricultural"	21.1	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S52"	49.08	7.98	2018	"Agricultural"	2.15	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"yes"	"yes"
"S53"	49.24	8.08	2018	"Agricultural"	6.19	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"yes"	"yes"
"S53"	49.24	8.08	2019	"Agricultural"	6.19	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S54"	49.15	8.05	2018	"Agricultural"	29.1	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"yes"	"yes"
"S55"	49.14	8.06	2018	"Agricultural"	28.6	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"yes"	"yes"
"S56"	49.3	8.15	2018	"Agricultural"	9.59	"2018-04-09"	"2018-09-07"	"yes"	"event missed"	"yes"	"yes"
"S56"	49.3	8.15	2019	"Agricultural"	9.59	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S57"	49.41	8.25	2019	"Agricultural"	16.18	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S58"	49.26	8.12	2018	"Agricultural"	18.84	"2018-04-09"	"2018-09-07"	"yes"	"event missed"	"yes"	"yes"
"S58"	49.26	8.12	2019	"Agricultural"	18.84	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S59"	49.07	8.01	2018	"Agricultural"	7.3	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"yes"	"yes"
"S59"	49.07	8.01	2019	"Agricultural"	7.3	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S60"	49.05	7.99	2018	"Agricultural"	5.67	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"yes"	"yes"
"S60"	49.05	7.99	2019	"Agricultural"	5.67	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S61"	54.03	9.16	2019	"Agricultural"	9.58	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S62"	54.06	10.52	2018	"Agricultural"	19.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S63"	54.58	9.85	2018	"Agricultural"	12.9	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S63"	54.58	9.85	2019	"Agricultural"	12.9	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S64"	54.16	10.78	2018	"Agricultural"	17.2	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S65"	54.75	9.46	2019	"Agricultural"	6.94	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S66"	51.18	13.44	2019	"Agricultural"	9.82	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"no"
"S67"	51.31	12.77	2018	"Agricultural"	16.8	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S68"	51.49	12.49	2018	"Agricultural"	15.4	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S69"	51.34	12.97	2018	"Agricultural"	21.2	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S70"	51.21	13.43	2019	"Agricultural"	14.59	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S71"	51.21	12.7	2018	"Agricultural"	29.9	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S72"	51.55	12.47	2018	"Agricultural"	15	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S73"	51.62	11.21	2018	"Agricultural"	4.21	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S74"	51.29	12.15	2018	"Agricultural"	29.81	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S74"	51.29	12.15	2019	"Agricultural"	29.81	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S75"	51.59	11.91	2019	"Agricultural"	15.16	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S76"	51.46	11.47	2018	"Agricultural"	11.6	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S76"	51.46	11.47	2019	"Agricultural"	11.6	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S77"	51.64	11.94	2018	"Agricultural"	13.9	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S78"	52.08	11.31	2018	"Agricultural"	5.58	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S78"	52.08	11.31	2019	"Agricultural"	5.58	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S79"	51.72	11.28	2018	"Agricultural"	9.19	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S80"	51.72	11.3	2019	"Agricultural"	10.06	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S81"	51.71	11.65	2019	"Agricultural"	18.56	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S82"	51.89	10.98	2018	"Agricultural"	22.3	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S83"	51.4	10.25	2019	"Agricultural"	4.83	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S84"	51.04	10.25	2018	"Agricultural"	19.5	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S85"	51.01	10.89	2018	"Agricultural"	9.74	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"yes"	"yes"
"S86"	51.01	10.86	2019	"Agricultural"	1.75	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S87"	53.22	11.84	2018	"Agricultural"	17.5	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"no"	"yes"
"S88"	53.7	12.97	2018	"Agricultural"	27.2	"2018-04-09"	"2018-07-06"	"yes"	"event missed"	"yes"	"yes"
"S89"	54.11	12.24	2018	"Agricultural"	14.3	"2018-04-09"	"2018-07-06"	"yes"	"event missed"	"yes"	"yes"
"S90"	53.56	12.55	2019	"Agricultural"	15.66	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S91"	52.7	9.15	2018	"Agricultural"	9.8	"2018-04-09"	"2018-07-06"	"yes"	"event missed"	"yes"	"yes"
"S92"	52.78	8.17	2019	"Agricultural"	13.38	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S93"	52.98	8.41	2019	"Agricultural"	8.99	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S94"	51.58	6.36	2018	"Agricultural"	43	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"no"	"yes"
"S95"	51.76	8.28	2019	"Agricultural"	4.97	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S96"	54.6	9.37	2019	"Agricultural"	6.76	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S97"	51.16	13.28	2019	"Agricultural"	13.57	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S98"	51.94	11.16	2018	"Agricultural"	267.17	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"no"	"yes"
"S98"	51.94	11.16	2019	"Agricultural"	267.17	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S99"	51.91	11.45	2019	"Agricultural"	28.27	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S100"	52.59	11.8	2018	"Agricultural"	46.3	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"no"	"yes"
"S101"	51.76	12	2019	"Agricultural"	44.4	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S102"	51.47	10.86	2019	"Agricultural"	22.52	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S103"	50.94	10.79	2018	"Agricultural"	13	"2018-04-09"	"2018-07-06"	"yes"	"yes"	"no"	"yes"
"S104"	50.21	10.49	2019	"Non-agricultural"	2.71	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S105"	52.17	10.83	2018	"Non-agricultural"	4.22	"2018-04-09"	"2018-07-06"	"yes"	"no"	"yes"	"yes"
"S105"	52.17	10.83	2019	"Non-agricultural"	4.22	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S106"	52.78	10.36	2019	"Non-agricultural"	32.16	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S107"	52.74	10.37	2019	"Non-agricultural"	22.14	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S108"	51.66	10.61	2019	"Non-agricultural"	2.49	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S109"	52.21	10.77	2019	"Non-agricultural"	3.35	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S110"	49.24	8.05	2018	"Non-agricultural"	3.76	"2018-04-09"	"2018-09-07"	"yes"	"no"	"yes"	"no"
"S111"	49.27	8.06	2018	"Non-agricultural"	10.2	"2018-04-09"	"2018-09-07"	"yes"	"no"	"yes"	"no"
"S112"	49.27	8.05	2019	"Non-agricultural"	10.27	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"no"
"S113"	49.06	7.95	2018	"Non-agricultural"	2.25	"2018-04-09"	"2018-09-07"	"yes"	"no"	"yes"	"no"
"S114"	49.28	8.11	2018	"Non-agricultural"	10.7	"2018-04-09"	"2018-09-07"	"yes"	"event missed"	"yes"	"yes"
"S114"	49.28	8.11	2019	"Non-agricultural"	10.7	"2019-04-08"	"2019-07-12"	"yes"	"event missed"	"yes"	"yes"
"S115"	51.73	10.66	2018	"Non-agricultural"	0.94	"2018-04-09"	"2018-07-06"	"yes"	"no"	"yes"	"yes"
"S116"	50.62	10.64	2018	"Non-agricultural"	1.63	"2018-04-09"	"2018-07-06"	"yes"	"no"	"yes"	"yes"
"S116"	50.62	10.64	2019	"Non-agricultural"	1.63	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"yes"
"S117"	50.59	10.65	2018	"Non-agricultural"	7.76	"2018-04-09"	"2018-07-06"	"yes"	"no"	"yes"	"yes"
"S118"	51.41	10.26	2019	"Non-agricultural"	1.86	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"yes"	"no"
"S119"	52.16	10.82	2018	"Non-agricultural"	5.18	"2018-04-09"	"2018-07-06"	"yes"	"event missed"	"yes"	"yes"
"S120"	49.48	8.2	2018	"Non-agricultural"	70.2	"2018-04-09"	"2018-09-07"	"yes"	"yes"	"no"	"yes"
"S121"	49.07	7.95	2018	"Non-agricultural"	3.18	"2018-04-09"	"2018-09-07"	"yes"	"no"	"no"	"no"
"S122"	51.31	12.98	2018	"Non-agricultural"	7.31	"2018-04-09"	"2018-07-06"	"yes"	"no"	"no"	"no"
"S123"	51.12	12.77	2019	"Non-agricultural"	5.78	"2019-04-08"	"2019-07-12"	"yes"	"yes"	"no"	"yes"
"S124"	51.15	12.7	2018	"Non-agricultural"	4.14	"2018-04-09"	"2018-07-06"	"yes"	"no"	"no"	"no"
